Game Name,Month,Day,Year,Num1,Num2,Num3,Num4,Num5,NumS
SE,1,2,2024,2,9,16,35,46,63
SE,1,4,2024,7,9,29,51,60,70
SE,1,8,2024,20,28,42,48,51,62
SE,1,9,2024,10,19,23,39,40,83
SE,1,11,2024,45,56,59,69,73,77
SE,1,12,2024,11,23,25,72,78,84
SE,1,13,2024,4,43,45,55,56,60
SE,1,16,2024,21,39,51,59,68,86
SE,1,18,2024,14,26,36,60,62,84
SE,1,19,2024,21,22,28,50,55,68
SE,1,20,2024,2,19,56,58,63,71
SE,1,23,2024,11,15,16,42,48,52
SE,1,25,2024,27,29,30,53,54,86
SE,1,26,2024,24,32,36,47,50,78
SE,1,27,2024,17,33,38,43,49,80
SE,1,30,2024,5,10,76,82,83,89
SE,2,1,2024,3,44,74,81,87,89
SE,2,2,2024,2,35,38,44,68,83
SE,2,3,2024,6,10,12,34,66,77
SE,2,6,2024,26,34,39,46,54,89
SE,2,8,2024,2,4,24,62,73,75
SE,2,9,2024,6,22,29,42,48,66
SE,2,10,2024,43,62,72,73,85,86
SE,2,13,2024,27,34,37,42,53,76
SE,2,15,2024,34,38,61,71,74,83
SE,2,16,2024,20,30,37,83,88,89
SE,2,17,2024,3,11,25,34,46,64
SE,2,20,2024,5,30,36,43,48,78
SE,2,22,2024,29,30,43,44,75,87
SE,2,23,2024,38,54,57,66,74,88
SE,2,24,2024,41,43,46,47,63,87
SE,2,27,2024,27,33,41,73,79,90
SE,2,29,2024,13,28,36,41,79,88
SE,3,1,2024,5,16,44,61,80,90
SE,3,2,2024,26,50,51,55,85,87
SE,3,5,2024,16,43,53,79,80,82
SE,3,7,2024,3,13,24,60,70,75
SE,3,8,2024,9,16,23,50,53,79
SE,3,9,2024,10,30,36,49,55,62
SE,3,12,2024,7,25,46,67,69,86
SE,3,14,2024,14,23,51,55,68,76
SE,3,15,2024,5,6,7,50,72,74
SE,3,16,2024,12,38,45,66,70,73
SE,3,19,2024,4,19,58,60,67,82
SE,3,21,2024,2,8,17,73,77,84
SE,3,22,2024,13,16,59,66,77,79
SE,3,23,2024,32,34,57,58,67,79
SE,3,26,2024,2,24,43,74,81,85
SE,3,28,2024,5,9,22,69,74,84
SE,3,29,2024,20,30,32,38,61,67
SE,3,30,2024,8,25,28,45,54,66
